url,filename,uppercaption,lowercaption,views,upvote
https://i.imgflip.com/1h1670.jpg,And-then-I-said-Obama.jpg,i told the sheep that this has been a 'scandal free' presidency,and they believed it,8396,0
https://i.imgflip.com/d2kha.jpg,And-then-I-said-Obama.jpg,"then i said, ""no need to panic","ebola is fully covered by obamacare.""",11043,0
https://i.imgflip.com/1sbnvf.jpg,And-then-I-said-Obama.jpg,and then i said,"""it was trump colluding with the russians""",7208,0
https://i.imgflip.com/2jfmvx.jpg,And-then-I-said-Obama.jpg,dude she really was the worst candidate for potus of all time,"we had to fake a dossier, spy on us citizens and stage a coup - we were stuck with frau blucher",9508,9
https://i.imgflip.com/1hfwe7.jpg,And-then-I-said-Obama.jpg,i promised the last 8 years,just recapping what,2965,0
https://i.imgflip.com/20aj5v.jpg,And-then-I-said-Obama.jpg,we democrats support a womans right to choose on abortion,but not on molestation by one of us,4347,0
https://i.imgflip.com/25dcth.jpg,And-then-I-said-Obama.jpg,now corporations and banks can refuse to do business with the nra because they don't agree with them,but bakers can't do the same thing with their own business!,4905,0
https://i.imgflip.com/195f35.jpg,And-then-I-said-Obama.jpg,bald face lied to the american people,the white house now admits to paying ransom to iran,4522,0
https://i.imgflip.com/1vc3gd.jpg,And-then-I-said-Obama.jpg,then they said i was too busy,golfing when katrina hit!,3296,9
https://i.imgflip.com/186v9a.jpg,And-then-I-said-Obama.jpg,i'm going to tell the public,that my peeps at the irs are looking into the clinton foundation,2265,0
https://i.imgflip.com/1otazc.jpg,And-then-I-said-Obama.jpg,i messed things up so much,people are pissed trump couldn't fix it in 100 days,2105,15
https://i.imgflip.com/1im0cw.jpg,And-then-I-said-Obama.jpg,the libs forget when i banned muslims from entering the united states,back in 2011,1929,10
https://i.imgflip.com/39ehf3.jpg,And-then-I-said-Obama.jpg,they all said i was bad at math,because once i got a 98 out of 99 on a standardized math test,2796,2
https://i.imgflip.com/1guadi.jpg,And-then-I-said-Obama.jpg,and then i said,i'd make this transition seamless,1768,11
https://i.imgflip.com/y2igp.jpg,And-then-I-said-Obama.jpg,then i called it the,"""affordable"" care act!",2795,14
